Date,OIL
42705,53.94
42706,54.46
42709,54.94
42710,53.93
42711,53
42712,53.89
42713,54.33
42716,55.69
42717,55.72
42718,53.9
42719,54.02
42720,55.21
42723,54.92
42724,55.35
42725,54.46
42726,55.05
42727,55.16
42731,56.09
42732,56.22
42733,56.14
42734,56.82
42737,56.82
42738,55.47
42739,56.46
42740,56.89
42741,57.1
42744,54.94
42745,53.64
42746,55.1
42747,56.01
42748,55.45
42751,55.86
42752,55.47
42753,53.92
42754,54.16
42755,55.49
42758,55.23
42759,55.44
42760,55.08
42761,56.24
42762,55.52
42765,55.23
42766,55.7
42767,56.8
42768,56.56
42769,56.81
42772,55.72
42773,55.05
42774,55.12
42775,55.63
42776,56.7
42779,55.59
42780,55.97
42781,55.75
42782,55.65
42783,55.81
42786,56.18
42787,56.66
42788,55.84
42789,56.58
42790,55.99
42793,55.93
42794,55.59
42795,56.36
42796,55.08
42797,55.9
42800,56.01
42801,55.92
42802,53.11
42803,52.19
42804,51.37
42807,51.35
42808,50.92
42809,51.81
42810,51.74
42811,51.76
42814,51.62
42815,50.96
42816,50.64
42817,50.56
42818,50.8
42821,50.75
42822,51.33
42823,52.42
42824,52.96
42825,52.83
42828,53.12
42829,54.17
42830,54.36
42831,54.89
42832,55.24
42835,55.98
42836,56.23
42837,55.86
42838,55.89
42842,55.36
42843,54.89
42844,52.93
42845,52.99
42846,51.96
42849,51.6
42850,52.1
42851,51.82
42852,51.44
42853,51.73
42856,51.52
42857,50.46
42858,50.79
42859,48.38
42860,49.1
42863,49.34
42864,48.73
42865,50.22
42866,50.77
42867,50.84
42870,51.82
42871,51.65
42872,52.21
42873,52.51
42874,53.61
42877,53.87
42878,54.15
42879,53.96
42880,51.46
42881,52.15
42884,52.29
42885,51.84
42886,50.31
42887,50.63
42888,49.95
42891,49.47
42892,50.12
42893,48.06
42894,47.86
42895,48.15
42898,48.29
42899,48.72
42900,47
42901,46.92
42902,47.37
42905,46.91
42906,46.02
42907,44.82
42908,45.22
42909,45.54
42912,45.83
42913,46.65
42914,47.31
42915,47.42
42916,47.92
42919,49.68
42920,49.61
42921,47.79
42922,48.11
42923,46.71
42926,46.88
42927,47.52
42928,47.74
42929,48.42
42930,48.91
42933,48.42
42934,48.84
42935,49.7
42936,49.3
42937,48.06
42940,48.6
42941,50.2
42942,50.97
42943,51.49
42944,52.52
42947,52.65
42948,51.78
42949,52.36
42950,52.01
42951,52.42
42954,52.37
42955,52.14
42956,52.7
42957,51.9
42958,52.1
42961,50.73
42962,50.8
42963,50.27
42964,51.03
42965,52.72
42968,51.66
42969,51.87
42970,52.57
42971,52.04
42972,52.41
42975,51.89
42976,52
42977,50.86
42978,52.38
42979,52.75
42982,52.34
42983,53.38
42984,54.2
42985,54.49
42986,53.78
42989,53.84
42990,54.27
42991,55.16
42992,55.47
42993,55.62
42996,55.48
42997,55.14
42998,56.29
42999,56.43
43000,56.86
43003,59.02
43004,58.44
43005,57.9
43006,57.41
43007,57.54
43010,56.12
43011,56
43012,55.8
43013,57
43014,55.62
43017,55.79
43018,56.61
43019,56.94
43020,56.25
43021,57.17
43024,57.82
43025,57.88
43026,58.15
43027,57.23
43028,57.75
43031,57.37
43032,58.33
43033,58.44
43034,59.3
43035,60.44
43038,60.9
43039,61.37
43040,60.49
43041,60.62
43042,62.07
43045,64.27
43046,63.69
43047,63.49
43048,63.93
43049,63.52
43052,63.16
43053,60.91
43054,61.25
43055,61.18
43056,61.34
43059,61.34
43060,62.28
43061,62.92
43062,63.27
43063,63.58
43066,63.25
43067,63.56
43068,63.74
43069,63.53
43070,64.57
43073,63.45
43074,63.45
43075,62.25
43076,62.37
43077,63.86
43080,65.62
43081,64.96
43082,63.66
43083,63.72
43084,63.81
43087,64.45
43088,63.69
43089,64.43
43090,64.64
43091,64.61
43096,66.03
43097,66.8
43098,66.73
43102,66.65
43103,67.85
43104,68.73
43105,68.01
43108,68.48
43109,69.08
43110,69.79
43111,70.36
43112,69.64
43115,70.31
43116,69.4
43117,69.19
43118,69.48
43119,68.56
43122,69.32
43123,69.81
43124,69.91
43125,71.08
43126,70.08
43129,68.41
43130,67.78
43131,67.78
43132,68.6
43133,67.45
43136,67.69
43137,66.75
43138,65.74
43139,64.26
43140,63.04
43143,62.2
43144,61.94
43145,62.29
43146,62.86
43147,64.3
43150,64.95
43151,64.68
43152,64.81
43153,66.12
43154,67.04
43157,67.96
43158,67.59
43159,66.08
43160,64.23
43161,64.26
43164,65.78
43165,65.67
43166,65.09
43167,63.87
43168,65.19
43171,64.53
43172,64.2
43173,63.61
43174,63.67
43175,64.68
43178,64.82
43179,66
43180,68.15
43181,68.98
43182,69.03
43185,68.81
43186,68.63
43187,68.13
43188,69.02
43193,69.02
43194,66.04
43195,66.54
43196,66.51
43199,68.19
43200,70.67
43201,72.74
43202,71.44
43203,73.18
43206,72.05
43207,71.71
43208,73.73
43209,74.85
43210,74.62
43213,74.54
43214,75.86
43215,73.79
43216,75.39
43217,75.33
43220,75.92
43221,74.85
43222,73.14
43223,73.45
43224,74.75
43228,74.16
43229,77.6
43230,77.59
43231,77.37
43234,78.17
43235,78.94
43236,78.19
43237,80.09
43238,78.38
43241,78.34
43242,80.42
43243,78.69
43244,78.9
43245,76.6
43249,74.51
43250,75.89
43251,76.45
43252,74.54
43255,73.41
43256,72.91
43257,73.23
43258,75.23
43259,75.11
43262,74.58
43263,74.86
43264,75.07
43265,74.77
43266,72.02
43269,74.87
43270,74.92
43271,74.25
43272,72.87
43273,73.67
43276,72.82
43277,73.58
43278,76.09
43279,76.26
43280,77.44
43283,76.71
43284,75.87
43285,76.99
43286,77.09
43287,74.98
43290,77.08
43291,77.8
43292,75.35
43293,72.11
43294,74.11
43297,71.03
43298,70.87
43299,70.52
43300,71.94
43301,71.99
43304,73.45
43305,73.53
43306,73.67
43307,74.51
43308,74.84
43311,74.99
43312,74.16
43313,72.28
43314,72.95
43315,72.48
43318,72.51
43319,72.31
43320,70.71
43321,70.55
43322,71
43325,70.62
43326,70.77
43327,68.38
43328,69.21
43329,70.14
43332,71.11
43333,71.65
43334,72.96
43335,73.73
43336,74.41
43339,74.41
43340,75.91
43341,76.07
43342,77.05
43343,76.94
43346,77.81
43347,77.51
43348,76.68
43349,75.67
43350,75.55
43353,76.77
43354,78.22
43355,80.02
43356,77.66
43357,77.87
43360,78.22
43361,79.25
43362,79.43
43363,79.03
43364,78.9
43367,80.89
43368,82.21
43369,81.87
43370,81.54
43371,82.72
43374,84.94
43375,85.63
43376,85.45
43377,86.07
43378,85.12
43381,84.22
43382,85.16
43383,83.82
43384,81.35
43385,80.71
43388,80.91
43389,80.53
43390,79.91
43391,80.3
43392,80.38
43395,80.45
43396,78.67
43397,77.34
43398,77.3
43399,77.4
43402,77.56
43403,75.68
43404,74.84
43405,71.25
43406,71.11
43409,72.68
43410,70.64
43411,70.1
43412,69.29
43413,69.01
43416,69.81
43417,65.45
43418,64.88
43419,65.61
43420,65.29
43423,64.14
43424,61.5
43425,61.65
43426,61.11
43427,57.69
43430,59.7
43431,59.58
43432,57.97
43433,58.29
43434,57.71
43437,60.17
43438,61.22
43439,61.4
43440,57.83
43441,61.71
43444,60.29
43445,59.73
43446,59.94
43447,59.03
43448,58.56
43451,57.59
43452,55.26
43453,55.6
43454,52.84
43455,51.93
43461,51.49
43462,50.57
43467,54.06
43468,53.23
43469,55.64
43472,57.1
43473,56.91
43474,59.46
43475,60.47
43476,59.24
43479,58.8
43480,58.65
43481,59.81
43482,59.85
43483,62.04
43486,62.18
43487,60.9
43488,61.05
43489,61.09
43490,61.49
43493,59.71
43494,60.98
43495,61.89
43496,62.46
43497,61.86
43500,62.26
43501,61.67
43502,62.22
43503,61.01
43504,61.37
43507,61.3
43508,62.58
43509,63.27
43510,64
43511,65.65
43514,66.41
43515,65.86
43516,66.82
43517,66.91
43518,66.91
43521,64.02
43522,64.51
43523,65.55
43524,65.03
43525,63.71
43528,64.44
43529,64.24
43530,64.51
43531,64.82
43532,65.66
43535,65.06
43536,65.33
43537,65.89
43538,66.18
43539,66.11
43542,66.65
43543,67.13
43544,68.35
43545,68.3
43546,66.29
43549,67.37
43550,67.51
43551,67.35
43552,66.08
43553,67.93
43556,69.08
43557,69.68
43558,69.21
43559,69.8
43560,69.93
43563,71.12
43564,71.02
43565,71.63
43566,71.3
43567,71.57
43570,70.9
43571,70.74
43572,71.14
43573,70.71
43578,74.39
43579,73.59
43580,74.94
43581,71.03
43584,71.22
43585,72.19
43586,72.01
43587,70.56
43588,71.95
43591,71.95
43592,70.98
43593,71.09
43594,70.61
43595,71.63
43598,72.35
43599,72.53
43600,73.09
43601,74.7
43602,73.94
43605,73.21
43606,72.94
43607,71.94
43608,68.37
43609,67.98
43613,70.19
43614,70.64
43615,69.55
43616,66.78
43619,63.16
43620,63.56
43621,62.14
43622,62.77
43623,64.1
43626,64.31
43627,63.56
43628,61.66
43629,63.28
43630,63.13
43633,62.56
43634,63.35
43635,62.85
43636,65.44
43637,65.99
43640,65.16
43641,66.24
43642,66.85
43643,66.78
43644,67.52
43647,65.1
43648,62.72
43649,63.53
43650,63.62
43651,64.23
43654,64.89
43655,64.3
43656,66.41
43657,67.64
43658,66.65
43661,66.86
43662,65.87
43663,63.67
43664,60.7
43665,61.04
43668,61.96
43669,62.28
43670,63.83
43671,63.47
43672,62.46
43675,62.29
43676,62.55
43677,64.07
43678,62.9
43679,61.12
43682,59.32
43683,58.63
43684,55.03
43685,56.29
43686,57.37
43689,57.13
43690,59.9
43691,57.86
43692,57.37
43693,59
43696,59.79
43697,59.03
43698,60.6
43699,59.81
43700,58.64
43703,58.64
43704,58.44
43705,60.42
43706,60.59
43707,61.04
43710,58.55
43711,57.93
43712,60.68
43713,62.7
43714,61.28
43717,63.99
43718,64.67
43719,63.02
43720,60.76
43721,61.25
43724,68.42
43725,65.59
43726,64.29
43727,64.25
43728,65.23
43731,64.66
43732,64.13
43733,62.41
43734,62.08
43735,62.48
43738,60.99
43739,60.06
43740,57.92
43741,58.01
43742,59.13
43745,59.46
43746,58.14
43747,59.7
43748,59.08
43749,60.59
43752,58.81
43753,59.19
43754,59.3
43755,59.35
43756,59.96
43759,58.95
43760,60.5
43761,60.52
43762,61.71
43763,62.06
43766,60.39
43767,61.05
43768,60.22
43769,59.3
43770,60.17
43773,62.52
43774,62.72
43775,62.11
43776,62.6
43777,62
43780,62.58
43781,62.19
43782,62.27
43783,62.46
43784,63.32
43787,62.82
43788,62.37
43789,63.8
43790,64.99
43791,64.83
43794,64.67
43795,64.82
43796,65.03
43797,64.68
43798,64.5
43801,63.2
43802,62.95
43803,65.25
43804,65.67
43805,66.5
43808,66.44
43809,66.57
43810,65.37
43811,66.67
43812,67.44
43815,68.04
43816,68.99
43817,69.12
43818,69.7
43819,68.66
43822,67.49
43823,69.26
43825,69.26
43826,68.91
43829,68.3
43830,67.77
43832,67.05
43833,69.08
43836,70.25
43837,68.74
43838,67.31
43839,66.58
43840,66.77
43843,64.14
43844,64.45
43845,63.29
43846,64.63
43847,64.05
43850,64.63
43851,63.66
43852,62.11
43853,61.26
43854,59.34
43857,58.54
43858,59.37
43859,59.46
43860,57.72
43861,57.77
43864,54
43865,53.9
43866,55.36
43867,55.18
43868,54.53
43871,53.39
43872,54
43873,55.54
43874,56.34
43875,57.37
43878,57.83
43879,57.35
43880,59.72
43881,59.57
43882,58.6
43885,56.71
43886,55.29
43887,54.96
43888,52.19
43889,51.31
43892,52.52
43893,52.24
43894,51.86
43895,51.29
43896,45.6
43899,35.33
43900,35.57
43901,34.45
43902,31.02
43903,32.25
43906,27.98
43907,27.97
43908,22.79
43909,23.98
43910,25.55
43913,23.75
43914,24.5
43915,25.62
43916,23.55
43917,22.39
43920,19.19
43921,14.85
43922,14.97
43923,20.24
43924,24.33
43927,22.58
43928,22.1
43929,25.22
43930,20.23
43935,21.74
43936,19.8
43937,18.69
43938,19.75
43941,17.36
43942,9.12
43943,13.77
43944,15.06
43945,15.87
43948,15.17
43949,15.6
43950,17.86
43951,18.11
43952,18.49
43955,20.4
43956,25.46
43957,24.2
43958,24.23
43962,25.53
43963,26.67
43964,27.89
43965,29.87
43966,30.95
43969,33.3
43970,33.06
43971,34.76
43972,34.78
43973,33.8
43977,33.95
43978,32.73
43979,33.98
43980,34.15
43983,36.74
43984,37.72
43985,37.98
43986,38.41
43987,41
43990,39.66
43991,40.45
43992,41.18
43993,37.76
43994,38.54
43997,39.44
43998,40.75
43999,40.47
44000,41.75
44001,42.33
44004,43.2
44005,42.72
44006,40.4
44007,41.18
44008,40.97
44011,41.58
44012,41.64
44013,42.18
44014,43.19
44015,42.92
44018,42.73
44019,43.28
44020,43.67
44021,42.35
44022,43.27
44025,42.85
44026,42.97
44027,43.96
44028,43.71
44029,43.53
44032,43.3
44033,44.31
44034,43.98
44035,42.96
44036,43.29
44039,43.39
44040,43.11
44041,43.51
44042,42.98
44043,43.13
44046,43.76
44047,43.99
44048,44.92
44049,45.04
44050,44.07
44053,44.19
44054,43.68
44055,45.09
44056,44.87
44057,44.86
44060,44.91
44061,45.34
44062,45.21
44063,44.56
44064,43.94
44067,44.43
44068,46.01
44069,45.79
44070,44.84
44071,45.22
44075,45.72
44076,42.7
44077,42.72
44078,41.1
44081,40.67
44082,38.53
44083,39.98
44084,39.27
44085,38.8
44088,38.57
44089,39.54
44090,41.23
44091,42.35
44092,42.16
44095,40.37
44096,40.84
44097,41.09
44098,41.24
44099,40.91
44102,41.59
44103,40.33
44104,40.3
44105,39.75
44106,38
44109,39.78
44110,41.27
44111,40.62
44112,42
44113,41.63
44116,40.5
44117,41.34
44118,41.81
44119,41.61
44120,41.34
44123,41.29
44124,41.62
44125,40.09
44126,41.28
44127,40.71
44130,39.06
44131,39.72
44132,37.86
44133,36.56
44134,36.33
44137,37.78
44138,38.17
44139,39.68
44140,39.47
44141,38.08
44144,40.93
44145,42.25
44146,42.5
44147,42.16
44148,41.51
44151,42.71
44152,42.54
44153,42.91
44154,43.09
44155,43.79
44158,45
44159,46.63
44160,47.3
44161,46.32
44162,46.88
44165,46.84
44166,47.03
44167,47.8
44168,48.37
44169,49.1
44172,48.63
44173,48.84
44174,48.81
44175,50.33
44176,50.01
44179,50.27
44180,50.77
44181,50.83
44182,51.2
44183,52.17
44186,50.61
44187,49.88
44188,51.05
44189,50.88
44193,50.88
44194,50.44
44195,50.74
44196,51.22
44200,50.37
44201,53.16
44202,53.8
44203,53.7
44204,55.51
44207,54.84
44208,55.98
44209,55.52
44210,55.76
44211,54.8
44214,54.21
44215,55.38
44216,55.66
44217,55.68
44218,55.22
44221,55.44
44222,55.26
44223,55.07
44224,54.87
44225,55.25
44228,56.42
44229,57.62
44230,58.61
44231,58.98
44232,59.48
44235,60.17
44236,60.74
44237,61.17
44238,61.09
44239,62.47
44242,63.58
44243,63.96
44244,65.02
44245,64.09
44246,62.84
44249,64.73
44250,65.16
44251,66.85
44252,66.69
44253,65.86
44256,64.56
44257,63.17
44258,64.7
44259,67.32
44260,69.95
44263,68
44264,67.03
44265,67.53
44266,69.34
44267,68.87
44270,68.78
44271,67.95
44272,67.73
44273,62.11
44274,64
44277,63.89
44278,59.96
44279,63.7
44280,61.21
44281,63.77
44284,64.06
44285,63.28
44286,63.52
44287,63.85
44292,61.47
44293,61.86
44294,62.09
44295,61.89
44298,62.38
44299,62.83
44300,66.11
44301,66.13
44302,65.98
44305,66.54
44306,65.34
44307,64.02
44308,65.07
44309,65.75
44312,65.5
44313,66.25
44314,67.08
44315,68.26
44316,67.73
44320,68.91
44321,69.71
44322,68.62
44323,68.73
44326,68.61
44327,68.83
44328,69.62
44329,67.36
44330,69.24
44333,69.62
44334,69.01
44335,66.88
44336,65.18
44337,66.72
44340,68.59
44341,68.8
44342,68.93
44343,69.43
44344,69.36
44348,70.03
44349,70.6
44350,70.71
44351,71.3
44354,70.89
44355,71.39
44356,71.31
44357,71.65
44358,72.05
44361,72.27
44362,73.38
44363,73.88
44364,72.92
44365,73.1
44368,74.49
44369,74.92
44370,75.22
44371,75.95
44372,76.45
44375,74.78
44376,75.38
44377,76.94
44378,76.69
44379,77.51
44382,78.34
44383,75.81
44384,74.31
44385,75.07
44386,77.14
44389,76.77
44390,77.5
44391,75.74
44392,74.53
44393,74.46
44396,69.33
44397,70.03
44398,72.54
44399,74.25
44400,74.86
44403,74.79
44404,74.87
44405,75.09
44406,76.3
44407,77.72
44410,73.91
44411,73.24
44412,70.99
44413,72.14
44414,71.02
44417,69.65
44418,71.14
44419,71.99
44420,71.79
44421,70.9
44424,70.07
44425,69.4
44426,68.61
44427,66.8
44428,65.51
44431,69.07
44432,71.21
44433,72.12
44434,70.42
44435,72.26
44439,73.45
44440,71.99
44441,73.56
44442,73.07
44445,72.43
44446,71.52
44447,72.36
44448,71.32
44449,72.44
44452,72.97
44453,73.05
44454,74.84
44455,75.14
44456,74.64
44459,73.59
44460,73.65
44461,75.5
44462,76.44
44463,77.42
44466,78.85
44467,78.3
44468,77.86
44469,77.81
44470,79.4
44473,81.44
44474,82.72
44475,81.39
44476,82.34
44477,82.17
44480,83.75
44481,83.53
44482,83.53
44483,83.86
44484,84.67
44487,84.13
44488,85.02
44489,85.76
44490,84.58
44491,85.43
44494,84.85
44495,85.11
44496,84.12
44497,83.4
44498,83.1
44501,84.51
44502,84.42
44503,81.1
44504,80.15
44505,82.43
44508,83.22
44509,84.52
44510,82.91
44511,83.4
44512,82.9
44515,81.94
44516,82.85
44517,80.67
44518,82.45
44519,80.24
44522,80.97
44523,83.43
44524,82.37
44525,82.05
44526,72.37
44529,73.34
44530,70.86
44531,69.53
44532,70.56
44533,70.71
44536,73.38
44537,75.54
44538,75.94
44539,74.1
44540,74.98
44543,74.12
44544,73.37
44545,73.71
44546,74.64
44547,72.97
44550,70.51
44551,72.85
44552,74.69
44553,76.26
44554,75.24
44559,78.63
44560,78.61
44561,77.24